109 1 2 1 0.5
109 1 2 2 0
109 1 2 4 1.5
109 1 2 21 3
109 1 5 1 0
109 1 5 2 0.5
109 1 5 4 3
109 1 5 21 2
109 1 9 1 0.5
109 1 9 2 0.5
109 1 9 4 2.5
109 1 9 21 3
109 1 12 1 1
109 1 12 2 2.5
109 1 12 4 1.5
109 1 12 21 1
109 1 19 1 2
109 1 19 2 2
109 1 19 4 1.5
109 1 19 21 2.5
109 1 26 1 1.5
109 1 26 2 2
109 1 26 4 2
109 1 26 21 2
109 2 2 1 3
109 2 2 2 1
109 2 2 4 2
109 2 2 21 4
109 2 5 1 0
109 2 5 2 3
109 2 5 4 3
109 2 5 21 4
109 2 9 1 2.5
109 2 9 2 1.5
109 2 9 4 3
109 2 9 21 3.5
109 2 12 1 2
109 2 12 2 1
109 2 12 4 3.5
109 2 12 21 3.5
109 2 19 1 2
109 2 19 2 1
109 2 19 4 3
109 2 19 21 3.5
109 2 26 1 0.5
109 2 26 2 3
109 2 26 4 2
109 2 26 21 2.5
109 3 2 1 0
109 3 2 2 0
109 3 2 4 1
109 3 2 21 3
109 3 5 1 0
109 3 5 2 0
109 3 5 4 3
109 3 5 21 3.5
109 3 9 1 0
109 3 9 2 1
109 3 9 4 4
109 3 9 21 3
109 3 12 1 3
109 3 12 2 0
109 3 12 4 0.5
109 3 12 21 1
109 3 19 1 2.5
109 3 19 2 2
109 3 19 4 3
109 3 19 21 3.5
109 3 26 1 0
109 3 26 2 4
109 3 26 4 2
109 3 26 21 3
109 4 2 1 1
109 4 2 2 1
109 4 2 4 2
109 4 2 21 3.5
109 4 5 1 1
109 4 5 2 0.5
109 4 5 4 2
109 4 5 21 2
109 4 9 1 .
109 4 9 2 .
109 4 9 4 .
109 4 9 21 .
109 4 12 1 2.5
109 4 12 2 1
109 4 12 4 1.5
109 4 12 21 0
109 4 19 1 2.5
109 4 19 2 0
109 4 19 4 0
109 4 19 21 1.5
109 4 26 1 1.5
109 4 26 2 3.5
109 4 26 4 2
109 4 26 21 1
109 5 2 1 0
109 5 2 2 1
109 5 2 4 2
109 5 2 21 2
109 5 5 1 3
109 5 5 2 1
109 5 5 4 3
109 5 5 21 3
109 5 9 1 .
109 5 9 2 .
109 5 9 4 .
109 5 9 21 .
109 5 12 1 4
109 5 12 2 3
109 5 12 4 2
109 5 12 21 2
109 5 19 1 .
109 5 19 2 .
109 5 19 4 .
109 5 19 21 .
109 5 26 1 1
109 5 26 2 4
109 5 26 4 2
109 5 26 21 3
109 6 2 1 0
109 6 2 2 0
109 6 2 4 2
109 6 2 21 3
109 6 5 1 1
109 6 5 2 1
109 6 5 4 2
109 6 5 21 3
109 6 9 1 2
109 6 9 2 2
109 6 9 4 3
109 6 9 21 3.5
109 6 12 1 3
109 6 12 2 1.5
109 6 12 4 2.5
109 6 12 21 2.5
109 6 19 1 3
109 6 19 2 0
109 6 19 4 0
109 6 19 21 3
109 6 26 1 1
109 6 26 2 3.5
109 6 26 4 1
109 6 26 21 2
109 7 2 1 0
109 7 2 2 0.5
109 7 2 4 1
109 7 2 21 2.5
109 7 5 1 0
109 7 5 2 1
109 7 5 4 2
109 7 5 21 3
109 7 9 1 2
109 7 9 2 1
109 7 9 4 3.5
109 7 9 21 2.5
109 7 12 1 3
109 7 12 2 3
109 7 12 4 3
109 7 12 21 1.5
109 7 19 1 2
109 7 19 2 2.5
109 7 19 4 1
109 7 19 21 2
109 7 26 1 0.5
109 7 26 2 2
109 7 26 4 1
109 7 26 21 1
109 8 2 1 0
109 8 2 2 0.5
109 8 2 4 3
109 8 2 21 3.5
109 8 5 1 1
109 8 5 2 1
109 8 5 4 3
109 8 5 21 3
109 8 9 1 .
109 8 9 2 .
109 8 9 4 .
109 8 9 21 .
109 8 12 1 3
109 8 12 2 2
109 8 12 4 2
109 8 12 21 2
109 8 19 1 1.5
109 8 19 2 1
109 8 19 4 3
