Date,Open,High,Low,Close,Adj Close,Volume
2019-04-03,0.099600,0.099600,0.099200,0.099600,0.099600,21332
2019-04-04,0.093400,0.094000,0.093400,0.094000,0.094000,30023
2019-04-05,0.093400,0.093400,0.080000,0.083000,0.083000,1384112
2019-04-08,0.090000,0.095800,0.080800,0.083000,0.083000,289298
2019-04-09,0.089600,0.089600,0.080400,0.088600,0.088600,30569
2019-04-10,0.080200,0.090000,0.080200,0.080800,0.080800,304741
2019-04-11,0.080600,0.089400,0.080000,0.083000,0.083000,83238
2019-04-12,0.089600,0.089600,0.081000,0.089600,0.089600,8400
2019-04-15,0.080800,0.085000,0.080600,0.085000,0.085000,105300
2019-04-16,0.083000,0.094400,0.083000,0.090000,0.090000,233509
2019-04-17,0.090000,0.092800,0.085000,0.090000,0.090000,181605
2019-04-18,0.090000,0.096600,0.085000,0.096600,0.096600,31750
2019-04-23,0.096800,0.096800,0.086000,0.096600,0.096600,286606
2019-04-24,0.097200,0.097200,0.091200,0.092200,0.092200,14758
2019-04-25,0.092200,0.099600,0.092200,0.099600,0.099600,87014
2019-04-26,0.099400,0.099400,0.093200,0.099200,0.099200,155568
2019-04-29,0.093000,0.096000,0.093000,0.096000,0.096000,6012
2019-04-30,0.099800,0.099800,0.096000,0.099600,0.099600,276580
2019-05-02,0.099600,0.099600,0.090400,0.090600,0.090600,241392
2019-05-03,0.090600,0.094800,0.090600,0.094800,0.094800,30475
2019-05-06,0.090000,0.093800,0.090000,0.093800,0.093800,100076
2019-05-07,0.090000,0.100000,0.090000,0.100000,0.100000,455886
2019-05-08,0.090400,0.099800,0.090400,0.099800,0.099800,15000
2019-05-09,0.099400,0.099400,0.090200,0.098000,0.098000,27148
2019-05-10,0.091000,0.099800,0.091000,0.092000,0.092000,4818
2019-05-13,0.095200,0.099600,0.095200,0.099600,0.099600,153634
2019-05-14,0.099600,0.099600,0.099600,0.099600,0.099600,62
2019-05-15,0.099400,0.099400,0.090600,0.099000,0.099000,52212
2019-05-16,0.090800,0.091000,0.090800,0.091000,0.091000,84
2019-05-17,0.091000,0.099400,0.091000,0.094000,0.094000,12638
2019-05-20,0.094000,0.099000,0.090200,0.096000,0.096000,22079
2019-05-21,0.096000,0.099000,0.090400,0.092000,0.092000,12093
2019-05-22,0.092000,0.099000,0.090000,0.098800,0.098800,213571
2019-05-23,0.090200,0.090200,0.081000,0.090000,0.090000,456164
2019-05-24,0.090000,0.090000,0.082200,0.089200,0.089200,70222
2019-05-27,0.089000,0.097600,0.082400,0.090000,0.090000,271734
2019-05-28,0.090000,0.090000,0.086000,0.086000,0.086000,14995
2019-05-29,0.090000,0.090000,0.090000,0.090000,0.090000,1
2019-05-31,0.090400,0.094800,0.090000,0.094800,0.094800,83187
2019-06-03,0.086200,0.092800,0.086000,0.092800,0.092800,588217
2019-06-04,0.090200,0.093800,0.090200,0.093000,0.093000,153329
2019-06-05,0.098600,0.098600,0.092400,0.092400,0.092400,17750
2019-06-07,0.092200,0.098800,0.092200,0.093200,0.093200,196893
2019-06-11,0.090600,0.092800,0.090600,0.092000,0.092000,106563
2019-06-12,0.098800,0.098800,0.092000,0.092000,0.092000,47410
2019-06-13,0.092000,0.098800,0.086200,0.092000,0.092000,222760
2019-06-14,0.092000,0.092000,0.092000,0.092000,0.092000,0
2019-06-18,0.135000,0.135000,0.099200,0.102500,0.102500,3397836
2019-06-19,0.102500,0.138000,0.102000,0.126500,0.126500,1173999
2019-06-20,0.128500,0.129500,0.110000,0.126500,0.126500,721137
2019-06-24,0.122000,0.127000,0.112500,0.127000,0.127000,1455797
2019-06-25,0.127000,0.127000,0.116000,0.116000,0.116000,279352
2019-06-26,0.124000,0.124000,0.110000,0.120000,0.120000,404662
2019-06-27,0.120000,0.120000,0.110000,0.114500,0.114500,142187
2019-06-28,0.111000,0.113000,0.111000,0.113000,0.113000,22102
2019-07-01,0.123500,0.123500,0.103000,0.109500,0.109500,182005
2019-07-02,0.110000,0.110000,0.104000,0.109000,0.109000,316476
2019-07-03,0.109000,0.115000,0.104500,0.115000,0.115000,7523
2019-07-04,0.115500,0.160000,0.115500,0.128000,0.128000,5037558
2019-07-05,0.145000,0.149500,0.130500,0.135500,0.135500,3455876
2019-07-08,0.135500,0.136000,0.120500,0.130000,0.130000,507568
2019-07-09,0.124500,0.134500,0.124000,0.127000,0.127000,793514
2019-07-10,0.140000,0.150000,0.115000,0.128500,0.128500,9115501
2019-07-11,0.128500,0.132500,0.110000,0.125500,0.125500,1638178
2019-07-12,0.125000,0.130000,0.118000,0.120500,0.120500,600816
2019-07-15,0.130000,0.130000,0.123500,0.126000,0.126000,115635
2019-07-16,0.129000,0.129000,0.120000,0.120000,0.120000,274553
2019-07-17,0.120500,0.128000,0.120000,0.125000,0.125000,273811
2019-07-18,0.124000,0.124500,0.120000,0.123000,0.123000,33254
2019-07-19,0.122500,0.123000,0.120000,0.121000,0.121000,381270
2019-07-22,0.114000,0.130000,0.114000,0.125000,0.125000,93960
2019-07-23,0.123500,0.124500,0.116000,0.124500,0.124500,151723
2019-07-24,0.120000,0.121500,0.115000,0.115000,0.115000,39730
2019-07-25,0.125000,0.125000,0.120000,0.120000,0.120000,37422
2019-07-26,0.116500,0.124500,0.116500,0.124500,0.124500,32140
2019-07-29,0.124500,0.124500,0.115000,0.124500,0.124500,182065
2019-07-30,0.116000,0.124500,0.116000,0.120000,0.120000,287444
2019-07-31,0.123000,0.124000,0.117000,0.118000,0.118000,399787
2019-08-01,0.118000,0.120000,0.117000,0.120000,0.120000,456319
2019-08-02,0.119500,0.122500,0.114500,0.117000,0.117000,291425
2019-08-06,0.116000,0.120000,0.090600,0.119500,0.119500,491851
2019-08-07,0.120000,0.120000,0.114500,0.120000,0.120000,51827
2019-08-08,0.110500,0.120000,0.110500,0.115000,0.115000,370147
2019-08-09,0.119500,0.119500,0.115000,0.115000,0.115000,155650
2019-08-12,0.117000,0.117000,0.113000,0.114000,0.114000,734864
2019-08-13,0.110500,0.119500,0.110500,0.112500,0.112500,178331
2019-08-14,0.116500,0.120000,0.111500,0.112000,0.112000,295516
2019-08-15,0.111000,0.120000,0.103500,0.103500,0.103500,350978
2019-08-16,0.110000,0.122000,0.110000,0.111000,0.111000,642664
2019-08-19,0.110000,0.125000,0.110000,0.123000,0.123000,403920
