Date,Open,High,Low,Close,Adj Close,Volume
2010-03-08,15.673077,16.403847,15.625000,16.384615,11.932350,342482200
2010-03-15,16.365385,17.692308,16.288462,17.375000,12.653615,738747100
2010-03-22,17.173077,18.211538,17.115385,17.634615,12.842684,497963100
2010-03-29,17.807692,17.846153,17.432692,17.625000,12.835682,251451000
2010-04-05,17.711538,18.028847,17.548077,17.807692,12.968732,297081700
2010-04-12,17.846153,18.932692,17.826923,18.240385,13.283846,542610800
2010-04-19,17.923077,18.461538,17.894230,18.336538,13.353871,338053600
2010-04-26,18.451923,18.942308,17.875000,18.134615,13.206813,460249600
2010-05-03,18.240385,18.596153,14.567307,16.230770,11.820313,633224300
2010-05-10,17.346153,17.788462,16.740385,16.961538,12.352505,455115200
2010-05-17,16.932692,17.182692,15.048077,15.788462,11.498195,617761500
2010-05-24,15.692307,16.048077,14.663462,15.721154,11.449180,436949200
2010-05-31,15.615385,15.875000,14.961538,15.105769,11.001013,314323200
2010-06-07,15.125000,15.259615,14.471154,14.961538,10.895977,394070200
2010-06-14,15.163462,15.471154,14.759615,15.336538,11.169073,372153900
2010-06-21,15.586538,15.817307,14.250000,14.336538,10.509769,482878900
2010-06-28,14.384615,14.625000,13.221154,13.346154,9.783743,460242700
2010-07-05,13.567307,14.586538,13.278846,14.375000,10.537966,315522600
2010-07-12,14.326923,14.759615,13.942307,13.990385,10.256011,360589500
2010-07-19,14.076923,15.240385,13.807693,15.105769,11.073673,372746500
2010-07-26,15.298077,15.932693,15.096154,15.500000,11.362672,346616800
2010-08-02,15.692307,15.903846,15.471154,15.817307,11.595284,285146900
2010-08-09,15.788462,15.826923,14.750000,14.788462,10.841063,281021600
2010-08-16,14.701923,15.134615,14.317307,14.451923,10.594354,319675300
2010-08-23,14.634615,14.682693,13.701923,14.144231,10.368792,339859900
2010-08-30,14.105769,14.961538,13.759615,14.798077,10.848108,304330200
2010-09-06,14.692307,15.461538,14.625000,15.365385,11.263990,247082700
2010-09-13,15.567307,15.836538,15.355769,15.663462,11.482502,304302400
2010-09-20,15.644231,16.057692,15.432693,16.019230,11.833689,297331900
2010-09-27,16.009615,16.048077,15.519231,15.730769,11.620600,255844700
2010-10-04,15.682693,16.625000,15.384615,16.461538,12.160432,304296900
2010-10-11,16.576923,16.817308,15.528846,15.673077,11.577982,458538500
2010-10-18,15.682693,15.740385,15.269231,15.442307,11.407506,314121100
2010-10-25,15.634615,15.692307,15.365385,15.403846,11.379096,245497300
