84205 1 2 59 58 55 55 6 0 653 291 201 597 703 9.1 -1.3 3.6 14.1 10.3 97
114382 1 3 58 59 58 55 9.1 0 557 653 291 201 597 14.1 9.1 -1.3 3.6 14.1 97
106458 2 2 48 50 56 58 9.1 0 726 188 238 557 653 9.4 -5.3 1.3 14.1 9.1 84
136676 2 3 46 48 50 56 9.1 0 649 726 188 238 557 14.6 9.4 -5.3 1.3 14.1 84
105311 3  2 37 36 41 46 10 0 671 206 118 649 726 9.3 -0.5 3.4 14.6 9.4 83
133419 3  3 39 37 36 41 10 0 648 671 206 118 649 15.3 9.3 -0.5 3.4 14.6 83
119153 4  2 33 32 34 39 10 0 802 241 163 648 671 10.5 -2.3 3.6 15.3 9.3 84
134824 4  3 36 33 32 34 10 0 699 802 241 163 648 15.1 10.5 -2.3 3.6 15.3 84
136679 5  2 57 46 39 36 10 0 720 278 153 699 802 9.9 -3.4 2.2 15.1 10.5 79
146077 5  3 59 57 46 39 10 0 790 720 278 153 699 16.1 9.9 -3.4 2.2 15.1 79
137926 6  2 60 61 60 59 10 0 748 197 186 790 720 9.7 -5.2 2.2 16.1 9.9 80
154151 6  3 58 60 61 60 10 0 624 748 197 186 790 14.4 9.7 -5.2 2.2 16.1 80
164856 7  2 39 43 50 58 15 0 723 207 169 624 748 9.6 -1.2 3.3 14.4 9.7 77
185650 7  3 34 39 43 50 15 0 698 723 207 169 624 14.9 9.6 -1.2 3.3 14.4 77
217651 8  2 35 30 28 34 15 1 649 233 245 698 723 9.7 -1.3 4.6 14.9 9.6 85
234563 8  3 32 35 30 28 15 1 696 649 233 245 698 15.1 9.7 -1.3 4.6 14.9 85
256435 9  2 41 35 32 32 15 1 777 246 212 696 649 10 1.7 4.9 15.1 9.7 90
244931 9  3 45 41 35 32 15 1 750 777 246 212 696 15.2 10 1.7 4.9 15.1 90
222296 10 2 56 51 45 45 15 1 915 254 270 750 777 10.1 1.3 1.4 15.2 10 110
267315 10 3 54 56 51 45 15 1 621 915 254 270 750 14.7 10.1 1.3 1.4 15.2 110
241277 11 2 36 43 48 54 15 1 804 302 120 621 915 9.8 1.4 3.9 14.7 10.1 112
247934 11 3 31 36 43 48 15 1 743 804 302 120 621 16.6 9.8 1.4 3.9 14.7 112
283068 12 2 30 25 26 31 15 1 732 311 200 743 804 9.6 -2.5 4.5 16.6 9.8 116
276388 12 3 31 30 25 26 15 1 775 732 311 200 743 14.7 9.6 -2.5 4.5 16.6 116
308316 13 2 21 21 25 31 15 1 683 192 107 775 732 9.2 -1.6 2.5 14.7 9.6 119
307100 13 3 20 21 21 25 17.1 1 609 683 192 107 775 13.6 9.2 -1.6 2.5 14.7 119
